Id,Name,RecordTypeId,BillingCity,BillingState,BillingCountry,Phone,AccountNumber,CurrencyIsoCode,WOD_2__Business_Units__c,WOD_2__Warranty_Account_Type__c,twodcms__Active__c,Twod_Region__c,Account_Number__c,Line_of_Business__c,Twod_Strategic_Customer__c,Twod_Type__c,Twod_OEM_Reg__c
001Aq00000ad6FPIAY,TestE0,012Aq000002IF15IAG,,,,12.0,EO126,CAD,CANADA,Dealer,Active,,EO1209320,,0.0,Equipment Office(EO),1.0
001Aq00000adDBxIAM,Test SC Acc,012Aq000002IF16IAG,,,,,SC621,CAD,CANADA,,Active,,1,,0.0,Service Center/Branch Office(SC),1.0
001Aq00000adHM2IAM,Test EO Acc1,012Aq000002IF15IAG,,,,,EO001,CAD,CANADA,,Active,Canada North,EO001,,0.0,Equipment Office(EO),0.0
001Aq00000agBfQIAU,JNK MAINTENANCE SERVICE INC. (CASH),012Aq000002IF14IAG,,,,,C00036907,CAD,CANADA,,Active,,C00036907,Others,0.0,Customers,0.0
001Aq00000agBfRIAU,CONSTRUCTION GILBERT NOLET INC.,012Aq000002IF14IAG,Cumming,Georgia,United States,,C00036908,CAD,CANADA,Customer,Active,,C00036908,Construction,0.0,Customers,0.0
001Aq00000agBfSIAU,B.B MARINE SEPT ILES (CASH),012Aq000002IF14IAG,,,,,C00036909,CAD,CANADA,,Active,,C00036909,Construction,0.0,Customers,0.0
001Aq00000agBfTIAU,MARCO MINI MECANIQUE (CASH),012Aq000002IF14IAG,,,,,C00036910,CAD,CANADA,,Active,,C00036910,Others,0.0,Customers,0.0
001Aq00000agBfUIAU,EXC. GAMPELL INC. (CASH),012Aq000002IF14IAG,,,,,C00036911,CAD,CANADA,,Active,,C00036911,Construction,0.0,Customers,0.0
001Aq00000agBfVIAU,DEREK LEBLANC (CASH ONLY),012Aq000002IF14IAG,,,,,C00036912,CAD,CANADA,,Active,,C00036912,Others,0.0,Customers,0.0
001Aq00000agBfWIAU,MISSINIPPI CONSTRUCTION COMPANY LTD,012Aq000002IF14IAG,,,,,C00036913,CAD,CANADA,,Active,,C00036913,Others,0.0,Customers,0.0
